
170314_1306	1	summary	Period	
170314_1306	1	summary	1	
170314_1306	1	session	Subject	FinalProfit	ShowUpFee	ShowUpFeeInvested	MoneyAdded	MoneyToPay	MoneyEarned	ShowupFee	DollarConvert	Exp1Paid	PayoffExp1	Exp2Paid	PayoffExp2	RGPayoff	FinalEarningsECU	FinalEarningsAUD	FinalEarnings	
170314_1306	1	session	1	45	0	0	0	0	0	100	10	1	200	0	50	150	450	45	45	
170314_1306	1	session	2	16	0	0	0	0	0	100	10	1	50	0	60	10	160	16	16	
170314_1306	1	session	3	35	0	0	0	0	0	100	10	1	150	0	250	100	350	35	35	
170314_1306	1	session	4	12.5	0	0	0	0	0	100	10	1	0	0	250	25	125	12.5	12.5	
170314_1306	1	session	5	15	0	0	0	0	0	100	10	0	150	1	50	0	150	15	15	
170314_1306	1	session	6	22	0	0	0	0	0	100	10	0	50	1	50	70	220	22	22	
170314_1306	1	session	7	40	0	0	0	0	0	100	10	1	150	0	300	150	400	40	40	
170314_1306	1	session	8	25	0	0	0	0	0	100	10	0	150	1	50	100	250	25	25	
170314_1306	1	session	9	20	0	0	0	0	0	100	10	1	100	0	60	0	200	20	20	
170314_1306	1	session	10	15	0	0	0	0	0	100	10	0	150	1	50	0	150	15	15	
170314_1306	1	session	11	30	0	0	0	0	0	100	10	0	250	1	50	150	300	30	30	
170314_1306	1	session	12	51	0	0	0	0	0	100	10	0	100	1	300	110	510	51	51	
170314_1306	1	session	13	25	0	0	0	0	0	100	10	0	150	1	50	100	250	25	25	
170314_1306	1	session	14	23	0	0	0	0	0	100	10	0	300	1	50	80	230	23	23	
170314_1306	1	session	15	48	0	0	0	0	0	100	10	0	250	1	250	130	480	48	48	
170314_1306	1	session	16	42	0	0	0	0	0	100	10	0	150	1	300	20	420	42	42	
170314_1306	1	session	17	25	0	0	0	0	0	100	10	1	150	0	100	0	250	25	25	
170314_1306	1	session	18	55	0	0	0	0	0	100	10	0	150	1	300	150	550	55	55	
170314_1306	1	session	19	40	0	0	0	0	0	100	10	1	150	0	300	150	400	40	40	
170314_1306	1	session	20	36	0	0	0	0	0	100	10	0	300	1	260	0	360	36	36	
170314_1306	1	session	21	55	0	0	0	0	0	100	10	1	300	0	260	150	550	55	55	
170314_1306	1	session	22	23	0	0	0	0	0	100	10	1	0	0	250	130	230	23	23	
170314_1306	1	session	23	21	0	0	0	0	0	100	10	1	0	0	300	110	210	21	21	
170314_1306	1	session	24	27	0	0	0	0	0	100	10	1	150	0	300	20	270	27	27	
170314_1306	1	session	25	43	0	0	0	0	0	100	10	1	200	0	50	130	430	43	43	
170314_1306	1	session	26	40	0	0	0	0	0	100	10	1	300	0	60	0	400	40	40	
170314_1306	1	session	27	55	0	0	0	0	0	100	10	1	300	0	50	150	550	55	55	
170314_1306	1	session	28	40	0	0	0	0	0	100	10	1	150	0	300	150	400	40	40	
170314_1306	1	session	29	50	0	0	0	0	0	100	10	1	250	0	50	150	500	50	50	
170314_1306	1	session	30	34	0	0	0	0	0	100	10	1	150	0	300	90	340	34	34	
